OfferDetails,Products
"Save $2.00 ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).","['downy liquid fabric conditioner', 'downy odor', 'downy wrinkle guard', 'downy nature blends', 'bounce/downy sheets', 'bounce/downy wrinkle guard', 'scent boosters', 'downy unstopables', 'downy libre enjuague', 'gain fireworks']"
"Save $2.00 ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).","['tide pods', 'tide power pods', 'tide liquid/powder laundry detergent', 'tide pods']"
"Save $2.00 ONE Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).","['tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']"
SAVE $1.00 ON TWO when you buy TWO BOXES (8.9 - 15.2 OZ. EXCLUDES LARGE SIZE) any flavor/variety General Mills cereal listed: *,['flavor/variety general mills cereal']
"$3.00 OFF when you purchase any THREE (3) Pepperidge Farm® Farmhouse buns, bread, or cookies",['pepperidge farm® farmhouse buns']
"SAVE $1.11 when you buy any ONE (1) Familly Size OREO, CHIPS AHOY! or NUTTER BUTTER Cookies (12.1 - 20 oz.)","['chips ahoy', 'nutter butter cookies']"
"SAVE $1.00 ON TWO when you buy TWO PACKAGES any flavor 5 COUNT OR LARGER Nature Valley™ Granola Bars, Biscuits, *",['nature valley™ granola']
Save $1.00 on any TWO (2) Sargento® Natural Cheese Slices,['natural cheese slices']
$0.65 OFF On Any ONE (1) Oikos Greek Yogurt Cup (Excluding Oikos Triple Zero),"['oikos greek yogurt cup', 'oikos triple zero']"
"$2.00 OFF ONE (1) SMALL bag of Eight O'Clock® Coffee, Any variety 10 oz. - 12 oz. (excluding Barista Blends)","['small bag', ""o'clock® coffee"", 'barista blends']"
