Actual,Prediction
"['downy liquid fabric conditioner', 'downy odor', 'downy wrinkle guard', 'downy nature blends', 'bounce/downy sheets', 'bounce/downy wrinkle guard', 'scent boosters', 'downy unstopables', 'downy libre enjuague', 'gain fireworks']","['Downy Liquid Fabric Conditioner', 'Downy Odor', 'Downy Wrinkle Guard', 'Downy Nature Blends', 'Bounce/Downy Sheets', 'Bounce/Downy Wrinkle Guard', 'Scent Boosters', 'Downy Unstopables', 'Downy Libre Enjuague', 'Gain Fireworks']"
"['tide pods', 'tide power pods', 'tide liquid/powder laundry detergent', 'tide pods']","['Tide PODS', 'Tide Power PODS', 'Tide Liquid/Powder Laundry Detergent']"
"['tide laundry detergent', 'tide purclean laundry detergent', 'tide laundry detergent', 'tide pods', 'tide rescue', 'laundry detergent', 'tide detergent']","['Tide Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Detergent']"
['flavor/variety general mills cereal'],['flavor/variety General Mills cereal']
['pepperidge farm® farmhouse buns'],['Pepperidge Farm® Farmhouse buns']
"['chips ahoy', 'nutter butter cookies']","['CHIPS AHOY', 'NUTTER BUTTER Cookies']"
['nature valley™ granola'],['Nature Valley™ Granola']
['natural cheese slices'],['Natural Cheese Slices']
"['oikos greek yogurt cup', 'oikos triple zero']","['Oikos Greek Yogurt Cup', 'Oikos Triple Zero']"
"['small bag', ""o'clock® coffee"", 'barista blends']","['SMALL bag', ""O'Clock® Coffee"", 'Barista Blends']"
"['laundry detergent', 'downy liquid fabric conditioner', 'bounce/downy sheets', 'in-wash scent boosters', 'era laundry detergent', 'downy unstopables', 'bounce/downy wrinkle guard sheets', 'downy libre enjuague', 'gain fireworks']","['Laundry Detergent', 'Downy Liquid Fabric Conditioner', 'Bounce/Downy Sheets', 'In-Wash Scent Boosters', 'ERA Laundry Detergent', 'Downy Unstopables', 'Bounce/Downy Wrinkle Guard Sheets', 'Downy Libre Enjuague', 'Gain Fireworks']"
['flavor/variety betty crocker™ fruit shapes'],['flavor/variety Betty Crocker™ Fruit Shapes']
"['frigo® cheese heads® 8ct', 'snack cheese product']","['Frigo® Cheese Heads® 8ct', 'Snack Cheese Product']"
"['pace® salsa', 'picante sauce']","['Pace® Salsa', 'Picante Sauce']"
['noosa® yoghurts'],['noosa® yoghurts']
['gardein™ frozen item'],['Gardein™ Frozen Item']
"['gain flings', 'gain liquid laundry detergent', 'gain botanicals', 'essential oils', 'gain powder laundry detergent', 'gain ultra flings', 'gain fabric enhancers', 'gain fireworks', 'gain flings']","['Gain Flings', 'Gain Liquid Laundry Detergent', 'Gain Botanicals', 'Essential Oils', 'Gain Powder Laundry Detergent', 'Gain Ultra Flings', 'Gain Fabric Enhancers', 'Gain Fireworks']"
['energizer® batteries'],['Energizer® Batteries']
"['purina® beggin®', 'dentalife® dog treats']","['Purina® Beggin®', 'DentaLife® Dog Treats']"
['pine-sol® product'],['Pine-Sol® product']
['flavor/variety cascadian farm™ cereal'],['flavor/variety Cascadian Farm™ Cereal']
['crunchy crunchmaster® crackers'],['crunchy Crunchmaster® Crackers']
"['dreft newborn laundry detergent', 'active baby laundry detergent', 'pure gentleness laundry detergent']","['Dreft Newborn Laundry Detergent', 'Active Baby Laundry Detergent', 'Pure Gentleness Laundry Detergent']"
"['happy baby organics', 'happy tot organics pouches']","['Happy Baby Organics', 'Happy Tot Organics pouches']"
"[""udi's® frozen item""]","[""Udi's® Frozen Item""]"
"['downy liquid fabric conditioner 48ld', 'downy odor', 'downy wrinkle guard 25oz', 'downy nature blends', 'bounce/downy sheets 70ct', 'bounce/downy wrinkle guard 40ct', 'scent boosters 5.7oz', 'downy unstopables', 'rapid touch-up', 'downy wrinkle releaser spray', 'downy libre enjuague']","['Downy Liquid Fabric Conditioner 48ld', 'Downy Odor', 'Downy Wrinkle Guard 25oz', 'Downy Nature Blends', 'Bounce/Downy Sheets 70ct', 'Bounce/Downy Wrinkle Guard 40ct', 'Scent Boosters 5.7oz', 'Downy Unstopables', 'Rapid Touch-up', 'Downy Wrinkle Releaser Spray', 'Downy Libre Enjuague']"
"['gain liquid fabric softener', 'gain botanicals', 'gain fireworks', 'scent boosters', 'gain dryer sheets', 'gain flings', 'gain detergent']","['Gain Liquid Fabric Softener', 'Gain Botanicals', 'Gain Fireworks', 'Scent Boosters', 'Gain Dryer Sheets', 'Gain Flings', 'Gain Detergent']"
['tillamook® ice cream product'],['Tillamook® Ice Cream Product']
"['benadryl® 20ct', '4oz product']","['BENADRYL® 20ct', '4oz product']"
"['oral-b glide', 'manual floss', 'interdental brush']","['Oral-B Glide', 'Manual Floss', 'Interdental Brush']"
[],[]
['prilosec otc product'],['Prilosec OTC Product']
"['’ s chocolate', 'chocolate candy']","['’s Chocolate', 'Chocolate Candy']"
